Freq p' spl
0 0.0271035347 62.6399187
11.4889706 0.0252148934 62.0125428
22.9779412 0.0209866457 60.4182607
34.4669118 0.0208742363 60.371612
45.9558824 0.0327369239 64.2801575
57.4448529 0.0550310213 68.7915515
68.9338235 0.0879428327 72.8634091
80.4227941 0.143780366 77.1333918
91.9117647 0.317608749 84.0172492
103.400735 0.59799809 89.513396
114.889706 0.0865806297 72.7278149
126.378676 0.0174765795 58.8285288
137.867647 0.0138529638 56.810254
149.356618 0.0259678332 62.2681143
160.845588 0.0311123802 63.8380648
172.334559 0.0315531256 63.9602478
183.823529 0.0288617268 63.1858463
195.3125 0.0241610013 61.6416987
206.801471 0.0184181089 59.2843008
218.290441 0.0123065101 55.7820984
229.779412 0.00667275076 50.4654982
241.268382 0.0034126868 44.6413287
252.757353 0.00535721524 48.558182
264.246324 0.00813749303 52.1892127
275.735294 0.0099662115 53.9500021
287.224265 0.0106467571 54.523747
298.713235 0.0123551063 55.8163298
310.202206 0.00916988541 53.2266783
321.691176 0.0071267425 51.0372214
333.180147 0.00474130135 47.4973513
344.669118 0.00232819895 41.3198019
356.158088 0.00142953289 37.0832831
367.647059 0.00314685506 43.9369349
379.136029 0.00481043787 47.6230923
390.625 0.00592222626 49.4291
402.113971 0.00635106343 50.0363291
413.602941 0.00614705065 49.7527359
425.091912 0.00536113276 48.5645313
436.580882 0.00414953611 46.3393911
448.069853 0.00269972639 42.6057951
459.558824 0.00154642305 37.7659664
471.047794 0.00205845256 40.2502173
482.536765 0.00349126169 44.8390481
494.025735 0.00546754774 48.7352518
505.514706 0.00337053847 44.5333858
517.003676 0.004143127 46.325965
528.492647 0.00386057995 45.7124511
539.981618 0.00310611831 43.8237599
551.470588 0.00207934473 40.33793
562.959559 0.00102141743 34.1634654
574.448529 0.000804219044 32.0868871
585.9375 0.0016289218 38.2174048
597.426471 0.00238687541 41.5359951
608.915441 0.00282520096 43.000387
620.404412 0.00290241387 43.2345869
631.893382 0.00259296114 42.2553203
643.382353 0.00201755173 40.0758937
654.871324 0.00135560172 36.6220423
666.360294 0.000763725758 31.6381488
677.849265 0.00034552273 24.7489325
689.338235 0.00037542323 25.4698229
700.827206 0.000759047028 31.5847738
712.316176 0.00130083968 36.2638756
723.805147 0.00179674983 39.0691523
735.294118 0.00215504558 40.6485293
746.783088 0.00228026295 41.1390987
758.272059 0.002120909 40.5098408
769.761029 0.00168246738 38.4983331
781.25 0.00104192729 34.3361483
792.738971 0.000513395639 28.1884436
804.227941 0.000939319895 33.4356705
815.716912 0.00162818879 38.2134953
827.205882 0.00214072078 40.5906006
