Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct 
0.07886 0.602154003 0.301059691 0.200703961 0.150527361 0.120422961 
0.0788625 0.602847884 0.30140664 0.200935263 0.150700839 0.120561754 
0.078865 0.603540764 0.301753092 0.201166232 0.150874066 0.120700347 
0.0788675 0.604232651 0.302099044 0.20139687 0.151047045 0.120838741 
0.07887 0.604923533 0.302444497 0.201627173 0.151219773 0.120976935 
0.0788725 0.605613419 0.302789449 0.201857143 0.151392251 0.121114928 
0.078875 0.606302296 0.3031339 0.202086778 0.151564477 0.12125272 
0.0788775 0.606990171 0.303477847 0.202316078 0.151736452 0.121390311 
0.07888 0.607677034 0.303821289 0.202545041 0.151908175 0.1215277 
0.0788825 0.60836289 0.304164227 0.202773668 0.152079645 0.121664886 
0.078885 0.609047729 0.304506658 0.203001956 0.152250862 0.12180187 
0.0788875 0.609731556 0.304848581 0.203229906 0.152421824 0.12193865 
0.07889 0.610414362 0.305189995 0.203457517 0.152592532 0.122075227 
0.0788925 0.611096151 0.305530899 0.203684788 0.152762985 0.122211599 
0.078895 0.611776914 0.305871292 0.203911717 0.152933182 0.122347766 
0.0788975 0.612456654 0.306211172 0.204138305 0.153103123 0.122483729 
0.0789 0.613135364 0.306550538 0.20436455 0.153272806 0.122619485 
0.0789025 0.613813043 0.306889387 0.204590451 0.153442231 0.122755034 
0.078905 0.614489689 0.307227721 0.204816007 0.153611398 0.122890377 
0.0789075 0.615165298 0.307565536 0.205041218 0.153780306 0.123025512 
0.07891 0.615839867 0.307902831 0.205266082 0.153948953 0.123160439 
0.0789125 0.616513394 0.308239605 0.205490599 0.15411734 0.123295158 
0.078915 0.617185876 0.308575857 0.205714767 0.154285466 0.123429667 
0.0789175 0.617857309 0.308911584 0.205938586 0.154453329 0.123563966 
0.07892 0.618527691 0.309246785 0.206162054 0.154620929 0.123698055 
0.0789225 0.619197019 0.309581459 0.206385171 0.154788266 0.123831932 
0.078925 0.619865288 0.309915604 0.206607935 0.154955338 0.123965598 
0.0789275 0.620532498 0.310249219 0.206830345 0.155122144 0.124099051 
0.07893 0.621198642 0.310582302 0.207052401 0.155288685 0.124232291 
0.0789325 0.62186372 0.310914851 0.207274101 0.155454958 0.124365318 
0.078935 0.622527725 0.311246865 0.207495443 0.155620964 0.12449813 
0.0789375 0.62319066 0.311578342 0.207716428 0.155786701 0.124630727 
0.07894 0.623852513 0.31190928 0.207937053 0.155952169 0.124763108 
0.0789425 0.62451329 0.312239678 0.208157319 0.156117366 0.124895273 
0.078945 0.625172978 0.312569533 0.208377222 0.156282293 0.125027221 
0.0789475 0.625831583 0.312898845 0.208596763 0.156446947 0.125158951 
0.07895 0.626489093 0.313227611 0.208815941 0.156611328 0.125290463 
0.0789525 0.627145512 0.31355583 0.209034753 0.156775436 0.125421756 
0.078955 0.62780083 0.3138835 0.2092532 0.156939269 0.125552828 
0.0789575 0.628455048 0.314210619 0.209471279 0.157102826 0.12568368 
0.07896 0.62910816 0.314537185 0.209688989 0.157266107 0.125814311 
0.0789625 0.629760164 0.314863198 0.20990633 0.157429111 0.12594472 
0.078965 0.630411055 0.315188654 0.210123301 0.157591836 0.126074906 
0.0789675 0.631060831 0.315513552 0.210339899 0.157754283 0.126204869 
0.07897 0.631709487 0.31583789 0.210556124 0.157916449 0.126334608 
0.0789725 0.632357021 0.316161667 0.210771975 0.158078335 0.126464122 
0.078975 0.633003429 0.316484881 0.21098745 0.158239939 0.12659341 
0.0789775 0.633648706 0.31680753 0.211202549 0.158401261 0.126722472 
0.07898 0.634292851 0.317129612 0.211417269 0.158562299 0.126851308 
0.0789825 0.634935858 0.317451127 0.211631611 0.158723053 0.126979916 
0.078985 0.635577727 0.317772071 0.211845573 0.158883521 0.127108295 
0.0789875 0.63621845 0.318092443 0.212059153 0.159043704 0.127236446 
0.07899 0.63685803 0.318412242 0.212272352 0.1592036 0.127364367 
0.0789925 0.637496458 0.318731467 0.212485167 0.159363208 0.127492058 
0.078995 0.638133733 0.319050115 0.212697597 0.159522529 0.127619517 
0.0789975 0.638769853 0.319368185 0.212909643 0.15968156 0.127746746 
0.079 0.639404815 0.319685676 0.213121302 0.159840301 0.127873743 
0.0790025 0.640038615 0.320002585 0.213332574 0.159998752 0.128000507 
