Freq p' spl
0 0.000168307059 18.5014467
10.0160256 0.00107131064 34.5777084
20.0320513 0.000235455403 21.4175733
30.0480769 0.00343763019 44.7045832
40.0641026 0.000363668013 25.1935022
50.0801282 0.00684526578 50.6872064
60.0961538 0.000502770803 28.0068011
70.1121795 0.013823408 56.7917026
80.1282051 0.000715511182 31.0717286
90.1442308 0.0470213602 67.4253038
100.160256 0.0759312693 71.5878133
110.176282 0.0489956999 67.7825594
120.192308 0.00120360605 35.5890873
130.208333 0.0173097767 58.7452294
140.224359 0.00107340941 34.5947081
150.240385 0.0107355296 54.5958696
160.25641 0.00108150998 34.6600107
170.272436 0.00783007406 51.8547175
180.288462 0.00110859988 34.8748966
190.304487 0.00617044887 49.7857352
200.320513 0.00113712415 35.0955577
210.336538 0.0050999121 48.1306539
220.352564 0.00115540922 35.2341167
230.36859 0.004342002 46.7332005
240.384615 0.00117264541 35.3627343
250.400641 0.00378961526 45.5513025
260.416667 0.00118882682 35.481772
270.432692 0.003402957 44.6165293
280.448718 0.00120837091 35.6234053
290.464744 0.00339557564 44.5976683
300.480769 0.000737608596 31.3359195
310.496795 0.00208411705 40.3578422
320.512821 0.00119117882 35.4989394
330.528846 0.00215149144 40.6341925
340.544872 0.00119750509 35.5449475
350.560897 0.00200930389 40.0403126
360.576923 0.00119267215 35.5098216
370.592949 0.00185874554 39.3637989
380.608974 0.00118382717 35.4451662
390.625 0.00171929657 38.686416
400.641026 0.00117116622 35.3517709
410.657051 0.00158875951 38.0005633
420.673077 0.00116172646 35.2814777
430.689103 0.0014720016 37.3375657
440.705128 0.00115512042 35.2319453
450.721154 0.00138005508 36.7773285
460.737179 0.00113768517 35.099842
470.753205 0.00131633547 36.3667318
480.769231 0.0011065431 34.8587668
490.785256 0.00131332339 36.3468337
500.801282 0.000826110221 32.32016
510.817308 0.00108703438 34.7042657
520.833333 0.00100940239 34.0606866
530.849359 0.00104665147 34.3754419
540.865385 0.000985229586 33.850149
550.88141 0.000984756783 33.8459797
560.897436 0.000960425677 33.6286753
570.913462 0.000924830713 33.300645
580.929487 0.000935349879 33.398882
590.945513 0.000872988537 32.7995709
600.961538 0.000903304965 33.096088
610.977564 0.000821866358 32.2754242
620.99359 0.00086988861 32.768673
631.009615 0.00078384046 31.8639536
641.025641 0.000832435703 32.3864141
651.041667 0.000732315522 31.2733649
661.057692 0.000815313192 32.2058895
671.073718 0.000669374272 30.4927804
681.089744 0.000819763762 32.2531744
