Freq p' spl
0 0.0135626811 56.6263111
11.4889706 0.0118638916 55.4639435
22.9779412 0.0136226622 56.6646399
34.4669118 0.0211466052 60.4842133
45.9558824 0.0237333407 61.4865776
57.4448529 0.0143754897 57.131853
68.9338235 0.0154099226 57.7354092
80.4227941 0.0613582833 69.7368641
91.9117647 0.170677667 78.622934
103.400735 0.268118465 82.5459346
114.889706 0.00470768176 47.435542
126.378676 0.0316306706 63.9815681
137.867647 0.0339198842 64.5884873
149.356618 0.0230567004 61.2353432
160.845588 0.00827859796 52.3385359
172.334559 0.00561478022 48.9660553
183.823529 0.0121637983 55.6807843
195.3125 0.0123979128 55.8463716
206.801471 0.00778884215 51.8088581
218.290441 0.00205906311 40.2527932
229.779412 0.00509108551 48.1156079
241.268382 0.00751604018 51.4991819
252.757353 0.00659107468 50.3585247
264.246324 0.00339856423 44.6053097
275.735294 0.00206124089 40.2619751
287.224265 0.00443361196 46.9145537
298.713235 0.00592564073 49.4341064
310.202206 0.00384433727 45.6758297
321.691176 0.00102612199 34.20338
333.180147 0.00199281752 39.9687507
344.669118 0.00372455404 45.4008857
356.158088 0.00372706425 45.4067377
367.647059 0.00218826312 40.7813909
379.136029 0.00072968674 31.2421292
390.625 0.00238659567 41.5349771
402.113971 0.00320451862 44.0946561
413.602941 0.0026325148 42.3868165
425.091912 0.00111264949 34.9065675
436.580882 0.00126086893 35.992799
448.069853 0.00252587285 42.0276298
459.558824 0.00272711874 42.693481
471.047794 0.00175281265 38.8541101
482.536765 0.000816364575 32.2170831
494.025735 0.00245589207 41.7835856
505.514706 0.001821204 39.186572
517.003676 0.0018342432 39.2485384
528.492647 0.000805314319 32.0987085
539.981618 0.000807707082 32.1244779
551.470588 0.00167612975 38.4655528
562.959559 0.001788005 39.0267746
574.448529 0.00111344887 34.9128057
585.9375 0.000303062875 23.6100549
597.426471 0.00110558732 34.8512611
608.915441 0.0015240341 37.6392938
620.404412 0.00121571482 35.6760343
631.893382 0.000383237919 25.6487696
643.382353 0.000506981477 28.0792419
654.871324 0.00101162479 34.0797893
666.360294 0.00104144958 34.3321651
677.849265 0.000721402044 31.1429475
689.338235 0.000223074138 20.9483846
700.827206 0.000405659395 26.1426309
712.316176 0.00090827637 33.1437604
723.805147 0.00105790014 34.4682936
735.294118 0.000723994778 31.1741088
746.783088 0.000121031654 15.6373794
758.272059 0.000774914725 31.7644784
769.761029 0.00118383629 35.445233
781.25 0.00102084711 34.1586142
792.738971 0.000400925552 26.0406748
804.227941 0.000597175737 29.5014432
815.716912 0.00113823222 35.1040176
827.205882 0.00112945496 35.0367784
838.694853 0.000574976927 29.1724084
850.183824 0.000380806296 25.5934825
861.672794 0.00098716341 33.8671811
873.161765 0.00111701813 34.9406045
884.650735 0.00062538934 29.9024096
896.139706 0.00105228966 34.4221062
907.628676 0.000652787129 30.2748317
919.117647 0.000680364543 30.6342335
930.606618 0.000613930003 29.7417772
942.095588 0.000226126651 21.0664351
953.584559 0.000259685949 22.2683691
965.073529 0.000551697634 28.8134225
