Freq p' spl
0 0.000280768086 22.9463549
10.0160256 0.00127038409 36.058101
20.0320513 0.00355874297 45.0053325
30.0480769 0.00209698147 40.4112919
40.0641026 0.00458940019 47.2145187
50.0801282 0.0114072139 55.1229918
60.0961538 0.00971261634 53.7261248
70.1121795 0.00659610519 50.3651515
80.1282051 0.0348209212 64.8162052
90.1442308 0.0647904653 70.2096221
100.160256 0.177081874 78.9428823
110.176282 0.0640344635 70.1076756
120.192308 0.0408151009 66.1958176
130.208333 0.0106048778 54.4895134
140.224359 0.0117389146 55.3719589
150.240385 0.0178722248 59.0229725
160.25641 0.0100811234 54.0495787
170.272436 0.0029550565 43.3907159
180.288462 0.0104781253 54.3850719
190.304487 0.00919486067 53.2503031
200.320513 0.00203071655 40.1323862
210.336538 0.00602134119 49.5732648
220.352564 0.00788635751 51.9169293
230.36859 0.00391849713 45.8417907
240.384615 0.00288921521 43.1949979
250.400641 0.00627763626 49.9353231
260.416667 0.00490397114 47.7903582
270.432692 0.00128249631 36.1405226
280.448718 0.00468496876 47.3935341
290.464744 0.00561703657 48.9695451
300.480769 0.00119423228 35.5211762
310.496795 0.0020069086 40.029952
320.512821 0.00394481155 45.8999253
330.528846 0.00292882622 43.3132722
340.544872 0.0011999491 35.5626566
350.560897 0.00329071786 44.325213
360.576923 0.00337442438 44.5433941
370.592949 0.00132005664 36.3912514
380.608974 0.0022771363 41.1271806
390.625 0.00333244932 44.4346712
400.641026 0.00204175771 40.1794842
410.657051 0.00128509303 36.1580914
420.673077 0.00289664779 43.2173139
430.689103 0.00256616257 42.1650834
440.705128 0.000881923025 32.8880137
450.721154 0.00222454137 40.9242098
460.737179 0.00277293076 42.8381806
470.753205 0.00134029157 36.5233858
480.769231 0.00148653607 37.4229091
490.785256 0.00276313136 42.8074307
500.801282 0.00133527425 36.4908095
510.817308 0.000956236057 33.5907024
520.833333 0.00207978206 40.3397567
530.849359 0.00206942717 40.296403
540.865385 0.000911728437 33.1767101
550.88141 0.00157251793 37.9113122
560.897436 0.00209338622 40.3963873
570.913462 0.00127446531 36.0859605
580.929487 0.00106737026 34.545702
590.945513 0.00189725837 39.5419296
600.961538 0.00155941825 37.8386523
610.977564 0.000831741968 32.3791724
620.99359 0.00155155766 37.7947585
631.009615 0.00164864366 38.321936
641.025641 0.000984291646 33.8418761
651.041667 0.00117660907 35.392044
661.057692 0.00152312156 37.6340914
671.073718 0.00124306847 35.8693011
681.089744 0.000953458026 33.5654317
691.105769 0.00127003368 36.0557048
701.121795 0.00138711487 36.8216486
711.137821 0.00101948489 34.1470159
721.153846 0.000939343869 33.4358922
731.169872 0.00141307514 36.9827052
741.185897 0.00122492208 35.7415694
751.201923 0.000709015599 30.9925159
761.217949 0.00127423336 36.0843795
771.233974 0.0013915218 36.8492004
781.25 0.000715044332 31.0660595
791.266026 0.00103514181 34.2793971
801.282051 0.00144818612 37.1958877
811.298077 0.000896436367 33.0297894
821.314103 0.00077503979 31.7658801
831.330128 0.00138961915 36.8373159
841.346154 0.00107746504 34.6274639
851.362179 0.000611160199 29.7025014
861.378205 0.0012555665 35.9561945
871.394231 0.00118672911 35.466432
881.410256 0.00063696072 30.0616531
891.426282 0.00135092512 36.5920257
901.442308 0.000688750006 30.7406324
911.458333 0.000807406467 32.1212446
921.474359 0.000605728391 29.6249587
931.490385 0.00103534578 34.2811085
941.50641 0.000879423506 32.8633615
951.522436 0.000619906839 29.8259286
961.538462 0.000915415131 33.2117618
971.554487 0.000920205954 33.2571009
981.570513 0.000669650605 30.4963654
991.586538 0.000793114974 31.9661231
1001.60256 0.000895010519 33.0159629
1011.61859 0.000736386496 31.3215164
1021.63462 0.000721197999 31.1404904
1031.65064 0.000831043765 32.371878
1041.66667 0.000768803558 31.6957078
1051.68269 0.000712786447 31.0385888
1061.69872 0.000766985867 31.6751473
1071.71474 0.000753836044 31.5249381
1081.73077 0.000734840367 31.3032602
1091.74679 0.000770721295 31.7173473
1101.76282 0.000667811639 30.4724798
1111.77885 0.000717459151 31.0953437
1121.79487 0.000706882074 30.9663395
1131.8109 0.000652888339 30.2761783
1141.82692 0.000693272603 30.7974808
1151.84295 0.000737390185 31.3333471
1161.85897 0.00063960986 30.0977031
1171.875 0.000633903476 30.0198627
1181.89103 0.000742928716 31.398343
1191.90705 0.00066445721 30.4287405
1201.92308 0.000572365838 29.1328742
1211.9391 0.00071265236 31.0369546
1221.95513 0.000703115151 30.9199292
1231.97115 0.000543675914 28.686202
1241.98718 0.000649361164 30.2291263
1252.00321 0.000724446913 31.1795314
1262.01923 0.000560618864 28.9527542
1272.03526 0.000573561513 29.1510001
1282.05128 0.000705873508 30.9539377
1292.06731 0.000578952466 29.2322582
1302.08333 0.000494736503 27.8668792
1312.09936 0.000687435332 30.7240371
1322.11538 0.00067165728 30.5223546
1332.13141 0.000499997346 27.9587541
1342.14744 0.000605336922 29.6193434
1352.16346 0.000678224452 30.6068689
